timestamp,city,temperature,humidity
1754748000,Cape Town,14.49,68
1754748000,Kigali,27.31,30
1754748000,Kampala,21.97,70
1754744400,Cape Town,14.01,73
1754744400,Kigali,19.62,73
1754744400,Kampala,22.86,65
1754740800,Cape Town,14.85,67
1754740800,Kigali,27.93,29
1754740800,Kampala,23.07,63
1754737200,Cape Town,13.41,80
1754737200,Kigali,28.54,28
1754737200,Kampala,24.53,56
1754733600,Cape Town,13.71,78
1754733600,Kigali,23.62,57
1754733600,Kampala,28.27,42
1754726400,Cape Town,14.37,77
1754726400,Kigali,25.77,37
1754726400,Kampala,27.58,43
1754722800,Cape Town,14.03,80
1754722800,Kigali,20.62,68
1754722800,Kampala,24.22,57
1754719200,Cape Town,13.5,80
1754719200,Kigali,19.76,68
1754719200,Kampala,20.66,74
1754715600,Cape Town,13.27,81
1754715600,Kigali,19.2,72
1754715600,Kampala,17.6,88
1754712000,Cape Town,12.65,86
1754712000,Kigali,19.62,73
1754712000,Kampala,15.61,96
1754708400,Cape Town,12.83,84
1754708400,Kigali,15.83,70
1754708400,Kampala,15.72,96
1754704800,Cape Town,11.05,86
1754704800,Kigali,19.2,72
1754704800,Kampala,15.88,96
1754701200,Cape Town,12.08,85
1754701200,Kigali,19.2,72
1754701200,Kampala,16.07,96
1754697600,Cape Town,11.38,84
1754697600,Kigali,19.2,77
1754697600,Kampala,16.4,96
1754694000,Cape Town,11.68,82
1754694000,Kigali,19.76,68
1754694000,Kampala,16.7,95
1754690400,Cape Town,11.91,81
1754690400,Kigali,19.76,64
1754690400,Kampala,17.34,91
1754686800,Cape Town,13.32,86
1754686800,Kigali,20.87,60
1754686800,Kampala,18.24,86
1754683200,Cape Town,13.42,85
1754683200,Kigali,20.24,55
1754683200,Kampala,19.76,78
1754679600,Cape Town,12.98,87
1754679600,Kigali,20.66,53
1754679600,Kampala,20.24,76
1754676000,Cape Town,13.3,79
1754676000,Kigali,24.62,47
1754676000,Kampala,20.67,73
1754672400,Cape Town,13.88,78
1754672400,Kigali,21.78,48
1754672400,Kampala,20.96,72
1754668800,Cape Town,14.34,79
1754668800,Kigali,25.62,38
1754668800,Kampala,21.52,69
1754665200,Cape Town,15.79,70
1754665200,Kigali,24.4,41
1754665200,Kampala,22.64,65
1754661600,Cape Town,17.22,65
1754661600,Kigali,26.98,32
1754661600,Kampala,23.71,60
1754658000,Cape Town,15.94,70
1754658000,Kigali,24.36,41
1754658000,Kampala,25.2,54
1754654400,Cape Town,18.06,62
1754654400,Kigali,25.31,38
1754654400,Kampala,27.44,43
1754650800,Cape Town,17.17,66
1754650800,Kigali,25.87,36
1754650800,Kampala,28.4,39
1754647200,Cape Town,16.93,69
1754647200,Kigali,24.76,44
1754647200,Kampala,30.33,35
1754643600,Cape Town,16.01,73
1754643600,Kigali,25.62,41
1754643600,Kampala,29.7,36
1754640000,Cape Town,15.03,81
1754640000,Kigali,24.2,50
1754640000,Kampala,27.6,43
1754636400,Cape Town,13.34,86
1754636400,Kigali,22.62,56
1754636400,Kampala,24.36,56
1754632800,Cape Town,11.02,85
1754632800,Kigali,21.76,51
1754632800,Kampala,20.72,74
1754629200,Cape Town,9.92,88
1754629200,Kigali,19.2,68
1754629200,Kampala,17.67,90
1754625600,Cape Town,9.81,87
1754625600,Kigali,19.62,68
1754625600,Kampala,15.82,97
1754622000,Cape Town,10.22,87
1754622000,Kigali,20.62,60
1754622000,Kampala,15.82,98
1754618400,Cape Town,12.34,88
1754618400,Kigali,20.62,64
1754618400,Kampala,15.62,98
1754614800,Cape Town,12.45,88
1754614800,Kigali,17.46,65
1754614800,Kampala,15.74,96
1754611200,Cape Town,12.69,87
1754611200,Kigali,22.62,49
1754611200,Kampala,15.96,92
1754607600,Cape Town,12.8,87
1754607600,Kigali,22.62,49
1754607600,Kampala,16.44,85
1754604000,Cape Town,12.27,83
1754604000,Kigali,18.66,61
1754604000,Kampala,17.2,78
1754600400,Cape Town,12.77,81
1754600400,Kigali,22.62,49
1754600400,Kampala,17.75,75
1754596800,Cape Town,13.2,82
1754596800,Kigali,23.62,46
1754596800,Kampala,18.17,75
1754593200,Cape Town,13.35,86
1754593200,Kigali,19.12,59
1754593200,Kampala,18.84,74
1754589600,Cape Town,13.48,85
1754589600,Kigali,19.44,58
1754589600,Kampala,19.48,71
1754586000,Cape Town,13.24,81
1754586000,Kigali,26.62,32
1754586000,Kampala,20.78,64
1754582400,Cape Town,13.7,80
1754582400,Kigali,26.62,32
1754582400,Kampala,22.67,54
1754578800,Cape Town,14.72,79
1754578800,Kigali,27.62,30
1754578800,Kampala,25.61,42
